Line Item,Quantity,Reference Designators,Manufacturer,Manufacturer P/N,Vendor,Vendor P/N,Description,Value,Package,Part Type,Assembly Location,Cost Each,Cost Ext
1,1,-,LZX Industries,LZX-C1-PCB,LZX Industries,LZX-C1-PCB,LZX Industries Cadet I Sync Generator PCB,-,-,Fabricated,-,14.99,14.99
2,1,-,LZX Industries,LZX-C1-FPN,LZX Industries,LZX-C1-FPN,LZX Industries Cadet I Sync Generator Frontpanel,-,-,Fabricated,-,3.86,3.86
3,1,C1,Vishay / Sprague,1C10Z5U334M050B ,Mouser,75-1C10Z5U334M050B ,Multilayer Ceramic Capacitors MLCC - Leaded 0.33uF 50volts Z5U 20% 2.5mm L/S,330 n,-,Through Hole,PCB Top,0.26,0.26
4,13,"C3, C4, C5, C7, C8, C9, C10, C11, C13, C14, C15, C16, C22",Vishay / Sprague,1C10Z5U104M050B,Mouser,75-1C10Z5U104M050B,Multilayer Ceramic Capacitors MLCC - Leaded 0.1uF 50volts Z5U 20% 2.5mm L/S,0.1 u,-,Through Hole,PCB Top,0.1,1.3
5,2,"C2, C6",Panasonic,ECE-A1VKS100,Mouser,667-ECE-A1VKS100,Aluminum Electrolytic Capacitors - Leaded 10UF 35V KS RADIAL,10 u,-,Through Hole,PCB Top,0.24,0.48
6,2,"C17, C19",Vishay / BC Components,K102K15X7RH53L2,Mouser,594-K102K15X7RH53L2,Multilayer Ceramic Capacitors MLCC - Leaded 1000pF 100volts 10% X7R 2.5mm LS,1000 p,-,Through Hole,PCB Top,0.1,0.2
7,1,C18,Xicon,21RD747-RC,Mouser,21RD747-RC,Multilayer Ceramic Capacitors MLCC - Leaded 47pF 50volts C0G 5% 2.5mm L/S,47 p,-,Through Hole,PCB Top,0.1,0.1
8,2,"D1, D2",Fairchild Semiconductor,1N4001,Mouser,512-1N4001,Rectifiers Vr/50V Io/1A T/R,-,-,Through Hole,PCB Top,0.16,0.32
9,2,"FB1, FB2",Fair-Rite,2743001111,Mouser,623-2743001111,"EMI Filter Beads, Chips & Arrays 43 BEAD ON LEAD Z=68 OHM @ 100MHz",-,-,Through Hole,PCB Top,0.13,0.26
10,6,"R2, R5, R16, R17, R20, R23",KOA Speer,MF1/4DCT52R4990F,Mouser,660-MF1/4DCT52R4990F,Metal Film Resistors - Through Hole 1/4W 499 ohm 1% 500 OHM 1%,499R,-,Through Hole,PCB Top,0.12,0.72
11,1,R10,KOA Speer,MF1/4DCT52R4992F,Mouser,660-MF1/4DCT52R4992F,Metal Film Resistors - Through Hole 1/4W 49.9K ohm 1% 500 OHM 1%,49.9K,-,Through Hole,PCB Top,0.12,0.12
12,3,"R1, R3, R15",KOA Speer,MF1/4DCT52R3921F,Mouser,660-MF1/4DCT52R3921F,Metal Film Resistors - Through Hole 1/4W 3.92K ohm 1% 4.99K OHM 1%,3.92K,-,Through Hole,PCB Top,0.12,0.36
