Line Item,Quantity,Reference Designators,Manufacturer,Manufacturer P/N,Vendor,Vendor P/N,Description,Value,Package,Part Type,Assembly Location
1,1,-,LZX Industries,LZX-C2-PCB,LZX Industries,LZX-C2-PCB,LZX Industries Cadet II RGB Encoder PCB,-,-,Fabricated,-
2,1,-,LZX Industries,LZX-C2-FPN,LZX Industries,LZX-C2-FPN,LZX Industries Cadet II RGB Encoder Frontpanel,-,-,Fabricated,-
3,1,C1,Vishay / Sprague,1C10Z5U334M050B ,Mouser,75-1C10Z5U334M050B ,Multilayer Ceramic Capacitors MLCC - Leaded 0.33uF 50volts Z5U 20% 2.5mm L/S,330 n,-,Through Hole,PCB Top
4,17,"C3, C4, C5, C7, C8, C10, C12, C13, C14, C15, C16, C22, C23, C24, C25, C26, C27",Vishay / Sprague,1C10Z5U104M050B,Mouser,75-1C10Z5U104M050B,Multilayer Ceramic Capacitors MLCC - Leaded 0.1uF 50volts Z5U 20% 2.5mm L/S,0.1 u,-,Through Hole,PCB Top
5,2,"C2, C6",Panasonic,ECE-A1VKS100,Mouser,667-ECE-A1VKS100,Aluminum Electrolytic Capacitors - Leaded 10UF 35V KS RADIAL,10 u,-,Through Hole,PCB Top
6,2,"C9, C11",TDK,FG18X7R1E105KRT06,Mouser,810-FG18X7R1E105KRT6,Multilayer Ceramic Capacitors MLCC - Leaded 1uF 25volts X7R +/-10% LS=2.5mm,1 u,-,Through Hole,PCB Top
7,1,C17,DNP,DNP,DNP,DNP,DNP,10 p,-,Through Hole,PCB Top
8,2,"C18, C19",Panasonic,ECA-0JM221,Mouser,667-ECA-0JM221,Aluminum Electrolytic Capacitors - Leaded 220UF 6.3V ALUM LYTIC RADIAL,220 u,-,Through Hole,PCB Top
9,2,"C20, C21",AVX,TAP106K025SCS,Mouser,581-TAP106K025SCS,Tantalum Capacitors - Solid Leaded 25volts 10uF 10%,10 u,-,Through Hole,PCB Top
10,1,C28,DNP,DNP,DNP,DNP,DNP,2.2 p – 22 p,-,Through Hole,PCB Top
11,2,"D1, D2",Fairchild Semiconductor,1N4001,Mouser,512-1N4001,Rectifiers Vr/50V Io/1A T/R,-,-,Through Hole,PCB Top
12,2,"D3, D4",Fairchild Semiconductor,1N4148,Mouser,512-1N4148,"Diodes - General Purpose, Power, Switching 100V Io/200mA BULK",-,DO35,Through Hole,PCB Top
13,12,"D5, D6, D7, D8, D9, D10, D11, D12, D13, D14, D15, D16",STMicroelectronics,1N5711,Mouser,511-1N5711,Schottky Diodes & Rectifiers 15mA 70 Volt,-,DO35,Through Hole,PCB Top
14,2,"FB1, FB2",Fair-Rite,2743001111,Mouser,623-2743001111,"EMI Filter Beads, Chips & Arrays 43 BEAD ON LEAD Z=68 OHM @ 100MHz",-,-,Through Hole,PCB Top
15,3,"R1, R2, R6",KOA Speer,MF1/4DCT52R4990F,Mouser,660-MF1/4DCT52R4990F,Metal Film Resistors - Through Hole 1/4W 499 ohm 1% 500 OHM 1%,499R,-,Through Hole,PCB Top
16,1,R38,KOA Speer,MF1/4DCT52R4991F,Mouser,660-MF1/4DCT52R4991F,Metal Film Resistors - Through Hole 1/4W 4.99K ohm 1% 500 OHM 1%,4.99K,-,Through Hole,PCB Top
17,3,"R13, R23, R32",KOA Speer,MF1/4DCT52R1401F,Mouser,660-MF1/4DCT52R1401F,Metal Film Resistors - Through Hole 1/4W 1.4K ohm 1% ,1.4K,- ,Through Hole,PCB Top
