"* Q5A/Q5B, Q2A/Q2B, Q4A/Q4B must be matched transistor pairs.  We recommend sourcing these from Thonk.co.uk if you do not have the capability of matching transistors.",,,,,,,,,,,
** R43 may be a 2K TempCo resistor. Not required for a video oscillator.,,,,,,,,,,,
Line Item,Quantity,Reference Designators,Manufacturer,Manufacturer P/N,Vendor,Vendor P/N,Description,Value,Package,Part Type,Assembly Location
1,1,-,LZX Industries,LZX-C9-PCB,LZX Industries,LZX-C9-PCB,LZX Industries Cadet IX VCO PCB,-,-,Fabricated,-
2,1,-,LZX Industries,LZX-C9-FPN,LZX Industries,LZX-C9-FPN,LZX Industries Cadet IX VCO Frontpanel,-,-,Fabricated,-
3,2,"C4, C8",Panasonic,ECE-A1VKS100,Mouser,667-ECE-A1VKS100,Aluminum Electrolytic Capacitors - Leaded 10UF 35V KS RADIAL,10 u,-,Through Hole,PCB Top
4,11,"C9, C14, C15, C24, C25, C26, C27, C28, C29, C30, C54",Vishay / Sprague,1C10Z5U104M050B,Mouser,75-1C10Z5U104M050B,Multilayer Ceramic Capacitors MLCC - Leaded 0.1uF 50volts Z5U 20% 2.5mm L/S,0.1 u,-,Through Hole,PCB Top
5,2,"D7, D8",Fairchild Semiconductor,1N4001,Mouser,512-1N4001,Rectifiers Vr/50V Io/1A T/R,-,-,Through Hole,PCB Top
6,3,"FB3, FB4, FB5",Fair-Rite,2743001111,Mouser,623-2743001111,"EMI Filter Beads, Chips & Arrays 43 BEAD ON LEAD Z=68 OHM @ 100MHz",-,-,Through Hole,PCB Top
7,2,"J1, J4",Wenzhou QingPu,PJ302M,Thonk,MECH_JK_PJ302M,"Right angled 3.5mm Jack Sockets w/Knurled Nuts, No Washers",-,-,Through Hole,PCB Top / Frontpanel
8,1,J9,-,-,Futurlec,IDCMH16 ,16 Pin Shrouded Male Headers IDC,-,-,Through Hole,PCB Top
9,1,R144,KOA Speer,MF1/4DCT52R1003F,Mouser,660-MF1/4DCT52R1003F,Metal Film Resistors - Through Hole 100K ohms 1% 100PPM,100K,-,Through Hole,PCB Top
10,10,"R7, R9, R23, R27, R32, R104, R111, R112, R146, R166",KOA Speer,MF1/4DCT52R1001F,Mouser,660-MF1/4DCT52R1001F,Metal Film Resistors - Through Hole 1Kohms 1% 100PPM,1K,-,Through Hole,PCB Top
11,5,"R1, R10, R11, R145, R150",KOA Speer,MF1/4DCT52R4990F,Mouser,660-MF1/4DCT52R4990F,Metal Film Resistors - Through Hole 1/4W 499 ohm 1% ,499R,-,Through Hole,PCB Top
12,3,"R18, R147, R148",KOA Speer,MF1/4DCT52R4991F,Mouser,660-MF1/4DCT52R4991F,Metal Film Resistors - Through Hole 1/4W 4.99K ohm 1% ,4.99K,-,Through Hole,PCB Top
