Line Item,Quantity,Reference Designators,Manufacturer,Manufacturer P/N,Vendor,Vendor P/N,Description,Value,Package,Part Type,Assembly Location
1,4,"C1, C3, C4, C18",Panasonic,ECE-A1VKS100,Mouser,667-ECE-A1VKS100,Aluminum Electrolytic Capacitors - Leaded 10UF 35V KS RADIAL,10 u,-0,Through Hole,PCB Top
2,13,"C2, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16",Vishay / Sprague,1C10Z5U104M050B,Mouser,75-1C10Z5U104M050B,Multilayer Ceramic Capacitors MLCC - Leaded 0.1uF 50volts Z5U 20% 2.5mm L/S,0.1 u,-0,Through Hole,PCB Top
3,2,"D1, D2",Fairchild Semiconductor,1N4001,Mouser,512-1N4001,Rectifiers Vr/50V Io/1A T/R,-0,DO-41,Through Hole,PCB Top
4,10,"D3, D4, D5, D6, D7, D8, D9, D10, D11, D12",STMicroelectronics,1N5711,Mouser,511-1N5711,Schottky Diodes & Rectifiers 15mA 70 Volt,-0,DO-35,Through Hole,PCB Top
5,2,"FB1, FB2",Fair-Rite,2743001111,Mouser,623-2743001111,"EMI Filter Beads, Chips & Arrays 43 BEAD ON LEAD Z=68 OHM @ 100MHz",-0,-0,Through Hole,PCB Top
6,4,"J1, J2, J3, J4",Wenzhou QingPu,PJ302M,Thonk,MECH_JK_PJ302M,"Right angled 3.5mm Jack Sockets w/Knurled Nuts, No Washers",-0,-0,Through Hole,PCB Top / Frontpanel
7,1,J5,-0,-0,Futurlec,IDCMH16 ,16 Pin Shrouded Male Headers IDC,-0,-0,Through Hole,PCB Top
8,3,"R1, R4, R16",KOA Speer,MF1/4DCT52R1002F,Mouser,660-MF1/4DCT52R1002F,Metal Film Resistors - Through Hole 10Kohms 1% 100PPM,10K,-0,Through Hole,PCB Top
9,4,"R2, R5, R8, R40",KOA Speer,MF1/4DCT52R4990F,Mouser,660-MF1/4DCT52R4990F,Metal Film Resistors - Through Hole 1/4W 499 ohm 1% 500 OHM 1%,499,-0,Through Hole,PCB Top
10,2,"R3, R10",KOA Speer,MF1/4DCT52R4992F,Mouser,660-MF1/4DCT52R4992F,Metal Film Resistors - Through Hole 49.9Kohms 1% 100PPM,49.9K,-0,Through Hole,PCB Top
11,2,"R6, R18",KOA Speer,MF1/4DCT52R4991F,Mouser,660-MF1/4DCT52R4991F,Metal Film Resistors - Through Hole 4.99Kohms 1% 100PPM,4.99K,-0,Through Hole,PCB Top
12,32,"R7, R9, R12, R13, R14, R15, R17, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R41, R43, R45, R47, R48",KOA Speer,MF1/4DCT52R1001F,Mouser,660-MF1/4DCT52R1001F,Metal Film Resistors - Through Hole 1Kohms 1% 100PPM,1K,-0,Through Hole,PCB Top
13,1,R39,KOA Speer,MF1/4DCT52R1003F,Mouser,660-MF1/4DCT52R1003F,Metal Film Resistors - Through Hole 100Kohms 1% 100PPM,100K,-0,Through Hole,PCB Top
14,3,"R42, R44, R46",KOA Speer,MF1/4DCT52R3901F,Mouser,660-MF1/4DCT52R3901F ,Metal Film Resistors - Through Hole 3.9Kohms 1% 100PPM,3.9K,-0,Through Hole,PCB Top
15,2,"R7-GAIN1, R9-BIAS1",-0,-0,Thonk,Mech_Pot_Alpha,Right Angle B10K Alpha 9mm Potentiometer,B10K,-0,Through Hole,PCB Top / Frontpanel
16,6,"U1, U2, U3, U5, U6, U7",Texas Instruments,LM6172IN/NOPB,Mouser,926-LM6172IN/NOPB,"Operational Amplifiers - Op Amps Dual High Speed,Low Pwr Amp",-0,DIP-8,Through Hole,PCB Top
17,1,U4,ON Semiconductor / Fairchild ,MC78L05ABPX ,Mouser,512-MC78L05ABPX ,Linear Voltage Regulators Pos Voltage Reg 3Term 0.1a ,-0,TO-92,Through Hole,PCB Top
18,1,U8,Texas Instruments ,SN74HC148N ,Mouser,595-SN74HC148N,"Encoders, Decoders, Multiplexers & Demultiplexers 8-to-3 Line Priority ",,DIP-16,Through Hole,PCB Top
19,1,U9,ON Semiconductor / Fairchild ,MC79L05ACP ,Mouser,512-MC79L05ACP ,Linear Voltage Regulators 5V 100mA Negative ,,TO-92,Through Hole,PCB Top
20,1,-0,LZX Industries,LZX-CSTL0-PCB,LZX Industries,LZX-CSTL0-PCB,LZX Industries Castle 000 ADC PCB,-0,-0,Fabricated,-0
21,1,-0,LZX Industries,LZX-CSTL0-FPN,LZX Industries,LZX-CSTL0-FPN,LZX Industries Castle 000 ADC Frontpanel,-0,-0,Fabricated,-0
