Line Item,Quantity,Reference Designators,Manufacturer,Manufacturer P/N,Vendor,Vendor P/N,Description,Value,Package,Part Type,Assembly Location
1,4,"C1, C2, C3, C15",Panasonic,ECE-A1VKS100,Mouser,667-ECE-A1VKS100,Aluminum Electrolytic Capacitors - Leaded 10UF 35V KS RADIAL,10 u,-0,Through Hole,PCB Top
2,13,"C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C18, C19",Vishay / Sprague,1C10Z5U104M050B,Mouser,75-1C10Z5U104M050B,Multilayer Ceramic Capacitors MLCC - Leaded 0.1uF 50volts Z5U 20% 2.5mm L/S,0.1 u,-0,Through Hole,PCB Top
3,2,"D1, D2",Fairchild Semiconductor,1N4001,Mouser,512-1N4001,Rectifiers Vr/50V Io/1A T/R,-0,DO-41,Through Hole,PCB Top
4,4,"D3, D4, D5, D6",STMicroelectronics,1N5711,Mouser,511-1N5711,Schottky Diodes & Rectifiers 15mA 70 Volt,-0,DO-35,Through Hole,PCB Top
5,2,"FB1, FB2",Fair-Rite,2743001111,Mouser,623-2743001111,"EMI Filter Beads, Chips & Arrays 43 BEAD ON LEAD Z=68 OHM @ 100MHz",-0,-0,Through Hole,PCB Top
6,8,"J1, J2, J3, J4, J5, J6, J8, J9",Wenzhou QingPu,PJ302M,Thonk,MECH_JK_PJ302M,"Right angled 3.5mm Jack Sockets w/Knurled Nuts, No Washers",-0,-0,Through Hole,PCB Top / Frontpanel
7,1,J7,-0,-0,Futurlec,IDCMH16 ,16 Pin Shrouded Male Headers IDC,-0,-0,Through Hole,PCB Top
8,5,"R1, R7, R16, R17, R19",KOA Speer,MF1/4DCT52R1003F,Mouser,660-MF1/4DCT52R1003F,Metal Film Resistors - Through Hole 100Kohms 1% 100PPM,100K,-0,Through Hole,PCB Top
9,8,"R2, R3, R4, R5, R6, R8, R18, R20",KOA Speer,MF1/4DCT52R4990F,Mouser,660-MF1/4DCT52R4990F,Metal Film Resistors - Through Hole 1/4W 499 ohm 1% 500 OHM 1%,499,-0,Through Hole,PCB Top
10,1,R15,KOA Speer,MF1/4DCT52R1002F,Mouser,660-MF1/4DCT52R1002F,Metal Film Resistors - Through Hole 10Kohms 1% 100PPM,10K,-0,Through Hole,PCB Top
11,16,"R9, R10, R11, R12, R13, R14, R21, R22, R23, R25, R27, R29, R31, R33, R35, R36",KOA Speer,MF1/4DCT52R1001F,Mouser,660-MF1/4DCT52R1001F,Metal Film Resistors - Through Hole 1Kohms 1% 100PPM,1K,-0,Through Hole,PCB Top
12,6,"R24, R26, R28, R30, R32, R34",KOA Speer,MF1/4DCT52R3901F,Mouser,660-MF1/4DCT52R3901F ,Metal Film Resistors - Through Hole 3.9Kohms 1% 100PPM,3.9K,-0,Through Hole,PCB Top
13,4,"U1, U3, U4, U8",Texas Instruments,LM6172IN/NOPB,Mouser,926-LM6172IN/NOPB,"Operational Amplifiers - Op Amps Dual High Speed,Low Pwr Amp",-0,DIP-8,Through Hole,PCB Top
14,1,U2,ON Semiconductor / Fairchild ,MC78L05ABPX ,Mouser,512-MC78L05ABPX ,Linear Voltage Regulators Pos Voltage Reg 3Term 0.1a ,-0,TO-92,Through Hole,PCB Top
15,3,"U5, U6, U7",Texas Instruments,SN74HC00N ,Mouser,595-SN74HC00N ,Logic Gates Quad 2-Input NAND,-0,DIP-14,Through Hole,PCB Top
16,1,U9,Texas Instruments,TL072IP,Mouser,595-TL072IP,Operational Amplifiers - Op Amps Dual JFET In Low N,-0,DIP8,Through Hole,PCB Top
17,1,-0,LZX Industries,LZX-CSTL4-PCB,LZX Industries,LZX-CSTL4-PCB,LZX Industries Castle 100 Multi Gate PCB,-0,-0,Fabricated,-0
18,1,-0,LZX Industries,LZX-CSTL4-FPN,LZX Industries,LZX-CSTL4-FPN,LZX Industries Castle 100 Multi Gate Frontpanel,-0,-0,Fabricated,-0
