Line Item,Quantity,Reference Designators,Manufacturer,Manufacturer P/N,Vendor,Vendor P/N,Description,Value,Package,Part Type,Assembly Location
1,1,-,LZX Industries,LZX-C5-PCB,LZX Industries,LZX-C5-PCB,LZX Industries Cadet V Scaler PCB,-,-,Fabricated,-
2,1,-,LZX Industries,LZX-C5-FPN,LZX Industries,LZX-C5-FPN,LZX Industries Cadet V Scaler Frontpanel,-,-,Fabricated,-
3,6,"C3, C4, C7, C8, C5, C9",Vishay / Sprague,1C10Z5U104M050B,Mouser,75-1C10Z5U104M050B,Multilayer Ceramic Capacitors MLCC - Leaded 0.1uF 50volts Z5U 20% 2.5mm L/S,0.1 u,-,Through Hole,PCB Top
4,2,"C2, C6",Panasonic,ECE-A1VKS100,Mouser,667-ECE-A1VKS100,Aluminum Electrolytic Capacitors - Leaded 10UF 35V KS RADIAL,10 u,-,Through Hole,PCB Top
5,2,"D1, D2",Fairchild Semiconductor,1N4001,Mouser,512-1N4001,Rectifiers Vr/50V Io/1A T/R,-,-,Through Hole,PCB Top
6,2,"L1, L2",Fair-Rite,2743001111,Mouser,623-2743001111,"EMI Filter Beads, Chips & Arrays 43 BEAD ON LEAD Z=68 OHM @ 100MHz",-,-,Through Hole,PCB Top
7,5,"R8, R1, R3, R15, R17",KOA Speer,MF1/4DCT52R2002F,Mouser,660-MF1/4DCT52R2002F,Metal Film Resistors - Through Hole 1/4W 20K ohm 1% 20K OHM 1%,20K,-,Through Hole,PCB Top
8,4,"R2, R5, R16, R19",KOA Speer,MF1/4DCT52R4990F,Mouser,660-MF1/4DCT52R4990F,Metal Film Resistors - Through Hole 1/4W 499 ohm 1% 500 OHM 1%,499R,-,Through Hole,PCB Top
9,4,"R12, R14, R26, R28",KOA Speer,MF1/4DCT52R4991F,Mouser,660-MF1/4DCT52R4991F,Metal Film Resistors - Through Hole 1/4W 4.99K ohm 1% 4.99K OHM 1%,4.99K,-,Through Hole,PCB Top
10,1,R10,DNP,DNP,DNP,DNP,DO NOT PLACE,-,-,-,PCB Top
11,3,"U1, U2, U4",Texas Instruments,TL072IP,Mouser,595-TL072IP,Operational Amplifiers - Op Amps Dual JFET In Low N,-,DIP8,Through Hole,PCB Top
12,1,U3,ON Semiconductor,TL431BVLPG,Mouser,863-TL431BVLPG,Voltage References 2.5-36V ADJ 1-100mA,-,TO92,Through Hole,PCB Top
13,8,"J1, J2, J3, J4, J5, J6, J7, J8",-,-,Thonk,MECH_JK_PJ302M,"Right angled 3.5mm Jack Sockets w/Knurled Nuts, No Washers",-,-,Through Hole,PCB Top / Frontpanel
14,1,J9,-,-,Futurlec,IDCMH16 ,16 Pin Shrouded Male Headers IDC,-,-,Through Hole,PCB Top
15,1,-,-,-,Erthenvar,Ribbon Cable - 16 to 16 ,16 Pin IDC EuroRack Power Cable,-,-,Accessories,-
16,8,-,-,-,Thonk,Knurled Nuts,Knurled Nuts for PJ302M Jacks,-,-,Mechanical,Frontpanel
17,7,"R7, R11, R13, R25, R27, R29, R31",KOA Speer,MF1/4DCT52R1002F,Mouser,660-MF1/4DCT52R1002F,Metal Film Resistors - Through Hole 1/4W 10K ohm 1% 10K OHM 1%,10K,-,Through Hole,PCB Top
18,4,"R4, R6, R18, R20",KOA Speer,MF1/4DCT52R1431F,Mouser,660-MF1/4DCT52R1431F,Metal Film Resistors - Through Hole 1/4W 1.43K ohm 1% 1.43K OHM 1%,1.43K,-,Through Hole,PCB Top
19,1,R30,KOA Speer,MF1/4DCT52R1502F,Mouser,660-MF1/4DCT52R1502F,Metal Film Resistors - Through Hole 1/4W 15K ohm 1% 15K OHM 1%,15K,-,Through Hole,PCB Top
20,1,R9,TE Connectivity / Holsworthy,1623934-1,Mouser,279-1623934-1,Metal Film Resistors - Through Hole 0Ohm 1/4W LINK,0R,-,Through Hole,PCB Top
